a,total_energy,error
2.808399999999999785e+00,9.909337839240701214e+03,1.815828765923475641e-01
2.973599999999999799e+00,3.514703714360346112e+03,2.542412541366313450e-01
3.138799999999999812e+00,8.469692845620742219e+02,2.164761534477673555e-01
3.303999999999999826e+00,-2.018200584681040368e+02,2.558870308679149774e-01
3.469199999999999839e+00,-5.575292989610392169e+02,1.812203090080767021e-01
3.634400000000000297e+00,-6.196915036132484147e+02,2.153074462803763467e-01
3.799599999999999422e+00,-5.688694306249497004e+02,1.482703406139934121e-01
3.964799999999999436e+00,-4.979962287542776380e+02,1.274922543621999360e-01
4.129999999999999893e+00,-4.105802844228113599e+02,3.179134525457927296e-01
4.295200000000000351e+00,-3.450345520194106825e+02,1.330522642662526900e-01
4.460399999999999920e+00,-2.801335775743172576e+02,1.158629293937314397e-01
