x,y,z,vx,vy,vz
8.443280966657825681e-01,4.783129388565725115e+00,1.252425339775048885e+00,-3.639893629912897555e-01,4.044271427546025643e-01,9.263499656858843467e-01
8.787215174571019194e-01,9.533299956029072098e-01,3.994307821885893617e+00,1.395466904606965208e+00,8.926013910404979601e-01,5.377083482286176830e-01
2.558249083371517241e+00,1.970371050154696269e+00,1.315254984586915699e+00,-7.620336049486804431e-01,1.175961961546884371e+00,-8.057887723914995692e-02
2.515898289811863364e+00,3.856593883340350803e+00,4.055280021679681823e+00,1.765951275061981018e+00,4.981605937846718124e-01,-1.127250346880520393e+00
8.828046063325795112e-01,4.795304023144949745e+00,6.753211375084919865e+00,-5.400729488462707728e-03,-1.181057167559168786e+00,2.120676355240640021e+00
8.491145295844799712e-01,9.439905494024930510e-01,9.454759271285219313e+00,2.808099075461744087e-01,-4.628771988871223098e-01,6.182896859595864436e-01
2.521746287624246019e+00,1.854870087699149073e+00,6.802089645442275234e+00,2.054614115577937383e+00,-2.679736334776053885e-01,-1.638687120933617569e+00
2.429998590312905105e+00,3.773297300110070474e+00,9.413731182087380134e+00,2.395162146730829278e-01,-1.450310324234137083e+00,1.770844759139662106e+00
7.633862108135823776e-01,4.721282160038565046e+00,1.213670069756348013e+01,-8.801225731236973077e-03,2.510141555362179755e+00,-8.337423158201706652e-01
7.580364923053730664e-01,9.431679765267693138e-01,1.493404903426857899e+01,-3.924878874928339201e-01,-8.948046317861444443e-01,2.841759247595363469e-01
2.480734434827681412e+00,1.879837486368451271e+00,1.216630702503329253e+01,-5.223463936431882448e-02,-5.950553156204835270e-01,1.695133808651315022e+00
2.485009332332420939e+00,3.838080415524529609e+00,1.482764471246402316e+01,2.263736445433810196e-01,-3.603305143083089801e-01,3.130423280793108720e-01
8.122161047358553709e-01,4.690457175902666087e+00,1.763282426651154111e+01,1.853500286948309150e-01,6.743246126706259336e-01,1.641028217207596507e+00
8.447535830321548644e-01,1.011248557210272292e+00,2.022316730562097931e+01,-7.021538135768565780e-01,-9.236139946974122328e-01,1.099490275295306851e+00
2.429248518167531401e+00,1.877384268196857109e+00,1.748563918382316018e+01,-2.503211682699439056e+00,9.981504675914846247e-01,-7.598214306634857307e-01
2.548016774046129918e+00,3.788597202528182883e+00,2.024859401425019811e+01,2.273952275207402340e-01,-4.675239663361022702e-01,-9.610009172230897789e-01
8.512629265137283685e-01,4.732184938335652014e+00,2.286080593687362139e+01,7.200644588633439147e-01,-2.555051714729271728e-01,1.753681942132714999e+00
8.433289740468857820e-01,9.661603282254920266e-01,2.566695045454113355e+01,1.393193247330259288e+00,8.456817717324599526e-01,-1.202330044327529629e-01
2.481814805091557385e+00,1.882042512814074309e+00,2.286815129927850521e+01,-5.061308288851447401e-02,-6.113710244069221478e-01,-6.463993667654495123e-01
2.472016111362654645e+00,3.825561756885894837e+00,2.554451001469408311e+01,4.775053120639688453e-01,1.506055537700724534e-01,-4.665613636092070388e-02
8.827277878934524091e-01,1.038671053521982479e+01,1.401362218555719741e+00,4.643128449866146257e-02,-8.898006081442152437e-01,-1.320996450090807794e+00
8.241559783818815932e-01,6.717853851971363532e+00,4.065193612809625989e+00,-5.025516688590486725e-01,-2.040161620989151547e+00,-3.110196612035829755e+00
2.595054775158767146e+00,7.579516579716131019e+00,1.363476739731449561e+00,-1.000977434155174706e+00,1.561553584305531039e+00,1.154903982718829547e-01
2.528540820132248346e+00,9.505338972219769644e+00,4.084156719175582317e+00,-6.530168183439505336e-01,-7.952261634346671215e-01,-2.307437176620312336e+00
8.329838043048110041e-01,1.046695172741725521e+01,6.662657472098082678e+00,-1.397909276763684927e+00,1.169112204404703759e+00,-2.343258393411088436e-01
8.195340315091989014e-01,6.611986157828639854e+00,9.455455028193894051e+00,-4.171192634708831282e-01,1.603464358565779777e-02,-2.035921250371287849e-02
2.493628977439563688e+00,7.709793269105064795e+00,6.799286964904968755e+00,-2.622769979230056836e-01,1.085277204133733076e+00,4.017747395942721789e-01
2.396950637528073802e+00,9.577785384106871192e+00,9.368012162056077230e+00,-1.395386417482277208e+00,1.662316840667697582e+00,-5.773744145473533873e-01
7.769119490965902264e-01,1.038618017963672635e+01,1.210826818536745186e+01,-3.239342335077677881e-01,-6.490971338794645495e-01,3.383789569578757317e-02
8.160181415430480811e-01,6.606508043627428606e+00,1.481554058544299046e+01,-8.333819963527759889e-01,3.834832993364393761e-01,3.403369579402899081e+00
2.451266532796891884e+00,7.524896073597638235e+00,1.201277240216220399e+01,-1.974641908486859831e+00,8.037789679743787552e-01,-2.713663642484355876e+00
2.441120331414465827e+00,9.491936946310179479e+00,1.474050767976684995e+01,5.583189559765411314e-01,2.449455238842797034e-01,-1.206284988728689056e+00
8.127182266196110172e-01,1.052880901342147446e+01,1.756727650507448502e+01,2.320781185593852880e-01,-3.479086688872718991e+00,5.408985018602926464e-01
8.609362896800565323e-01,6.682967487307769794e+00,2.022802079877855519e+01,-1.265944453737882225e-01,-1.906832159354566070e+00,-1.968249370656213415e+00
2.472347919828335350e+00,7.586856361252499070e+00,1.745251898158489823e+01,-1.884294541362881992e+00,-7.288984458308795933e-01,7.194504637562442184e-01
2.532378872055240038e+00,9.439182636766583201e+00,2.027140198043457886e+01,-4.338114184098490478e-03,7.541890754475865100e-01,1.603114962529609944e+00
8.246954179266502427e-01,1.046604855363434083e+01,2.297720726621562903e+01,6.749307220932023732e-01,-7.387286936924978287e-01,2.391205291655110532e+00
8.292341663530780060e-01,6.679653380543730812e+00,2.567901243813684076e+01,2.813275050906421937e-02,1.237980695451031121e-01,1.334947676289942375e+00
2.595161449751443250e+00,7.633981065606702643e+00,2.288263964276833207e+01,-2.086596634560240027e+00,-3.514098363989583973e+00,-1.745137147858746851e-01
2.458862197032713137e+00,9.461905722411010800e+00,2.564063352188657774e+01,-5.729517440184458410e-01,1.517246732319485369e+00,-4.024653016386407600e+00
8.105628123160930620e-01,1.621212093731413972e+01,1.298477688789524631e+00,-3.277076222268532346e-01,3.544490053193153911e-01,1.124672938378849796e-02
8.740062717042098583e-01,1.242687476291972359e+01,4.075527473274731527e+00,-9.882203149330610614e-01,3.571716089210273948e-01,1.924387724871213345e+00
2.401691884693526458e+00,1.324248630902120460e+01,1.310827405351835617e+00,-8.088707960286538601e-01,1.099628699708746771e+00,-2.051911593902369935e-01
2.495577628514422663e+00,1.523655119356884491e+01,4.029941444274439455e+00,-9.856056501785845914e-01,1.597426640522612740e+00,-2.707653286804267423e-01
7.144296232718275741e-01,1.612818541068811484e+01,6.720363839379466242e+00,-3.570313753674659307e-01,-9.474438508316538332e-01,-2.093793705439146446e+00
7.939203629994600053e-01,1.235301227344555208e+01,9.392809022235956817e+00,-4.506820234672825443e+00,6.094372806173510293e-01,-5.048695321364853328e-01
2.414484493518837649e+00,1.338117533286014194e+01,6.760671308559452086e+00,5.352193131526870040e-01,-4.000780109880863744e-01,-1.179655070090311453e+00
2.486968171538683769e+00,1.523711528173351759e+01,9.426117133104776613e+00,1.093962613015103003e+00,1.841989888183168111e-02,-1.445143515776835086e+00
7.986414829537571425e-01,1.619073488089837909e+01,1.211276569814867088e+01,-2.315743433544177776e+00,3.838746969868902958e+00,-2.036110959748830496e+00
8.633053174881823999e-01,1.234653811586560224e+01,1.488383539035329584e+01,-7.011840531811824873e-01,2.150873626069646605e+00,-2.945381904280023333e-01
2.422983360090489757e+00,1.329963633281827562e+01,1.212168462070765074e+01,2.545700587695468586e-01,-2.211232130992817624e-01,-7.950720719399666514e-01
2.543982137503076224e+00,1.524408204396245559e+01,1.486936447267079409e+01,-9.289734705181103280e-02,-2.948693594261166950e-01,1.777362849014349377e+00
9.156759412526029873e-01,1.610894235093651616e+01,1.751965765256551677e+01,6.804046141935737868e-01,-8.602090605556043101e-01,8.991656317575967838e-01
7.957918663667659098e-01,1.246532940532054923e+01,2.027724240991921789e+01,-7.844590706072345210e-01,6.807461286314853144e-01,1.132703635307003243e+00
2.443361730722954928e+00,1.336696080291878275e+01,1.757549886655024451e+01,1.040475573016792499e+00,-3.918900137008209383e-01,-4.185444092046147757e-01
2.472923432303915536e+00,1.520235074262250663e+01,2.022007278694274390e+01,-9.815660816128266575e-01,1.486717675035047259e+00,2.294872107047567944e+00
8.186011243991410113e-01,1.616906214744656722e+01,2.284581062544742380e+01,1.138006679664555154e+00,-1.691243436317024340e+00,-1.263637778661441224e+00
7.679723167670758910e-01,1.240686249448526368e+01,2.559911732162778364e+01,-1.753904703279408339e-01,-1.482066862323830225e+00,9.164110899970181467e-01
