x,y,z,vx,vy,vz
9.030391280557065192e-01,4.854574223795802723e+00,1.354030862976450367e+00,-4.557993025194922443e-01,8.391248909683890478e-01,-3.907746369775286777e-01
8.128830255220715895e-01,9.380228014499618627e-01,4.101596072282369221e+00,1.091418870990173540e+00,-2.624216411409213023e+00,-2.342066807564849307e-01
2.479544181481030396e+00,1.835679799783451527e+00,1.307818638902401798e+00,3.006787617988405104e-01,-4.486949424512492457e-01,-7.941402133244549466e-01
2.475111274885667623e+00,3.860494995871402324e+00,4.074706133804795627e+00,3.896462835726114404e-01,1.904923947650611238e+00,4.369326550045083968e-01
8.502754744368764550e-01,4.759716241759395672e+00,6.712987765658206207e+00,-2.180463977663572805e+00,3.842621995885401320e-01,1.309451287809755282e-01
8.242869631489684323e-01,9.409354499957442997e-01,9.469877298086586848e+00,2.640696752366607836e+00,1.669899750551108175e+00,3.042659384925242017e-01
2.449608415503022663e+00,1.907723783776333448e+00,6.689537450242254657e+00,-8.434188029928884056e-01,-4.285305641281325628e-01,6.440756513535793593e-01
2.416092525155013160e+00,3.794197142642417031e+00,9.417907042882534441e+00,6.914355486055516753e-01,1.286111320830709115e+00,2.442423652015225599e+00
8.003306472320970144e-01,4.766703697689370856e+00,1.212592867529188290e+01,-2.912079021700758608e-01,-1.071768288297728855e+00,-8.571016762302188230e-01
8.326992212539836569e-01,8.537063226052271636e-01,1.485581446828395435e+01,5.663470239676805795e-02,6.501787864296121322e-01,4.453247992985852055e-01
2.559570447744933031e+00,1.884223917142640925e+00,1.217491012311755760e+01,2.153560749500685323e-02,-1.753236101236564037e+00,-5.361173665740068817e-01
2.507057588468960763e+00,3.786120785945365608e+00,1.486933858499828887e+01,-1.501371554072158387e+00,-2.822646592263469589e+00,-1.591340273065621425e+00
9.244657513627976275e-01,4.769754303436282150e+00,1.755399727857997405e+01,-8.660811567984467718e-01,1.386487566276157768e+00,-2.943689075895959295e+00
8.155912618051239793e-01,9.112923599459151758e-01,2.024350454593435344e+01,-1.332328588212904119e+00,-1.844258283452361091e+00,8.441733537220192929e-01
2.411116152581259886e+00,1.855495330416565780e+00,1.757578140846938552e+01,2.362142623010674847e-01,5.986042297072222684e-01,-1.039931208051648071e+00
2.459466845361115706e+00,3.814458554766318787e+00,2.024329703021209781e+01,3.890565979378143302e-01,1.350371379856351473e+00,-2.950813839203211497e+00
8.975471686381278902e-01,4.714050691334095156e+00,2.295627175613656235e+01,-1.467832238647005294e+00,-1.445761296591352441e+00,1.493495681952860199e+00
8.348426020256183300e-01,8.970602387663435540e-01,2.560084959049766695e+01,4.365617193108841665e-01,5.931956752489390139e-01,-1.343814330738219986e-01
2.554678519292016503e+00,1.837368868361339835e+00,2.283893812665266410e+01,1.568631267392435191e+00,-3.120530130931609136e-03,1.024160402150573024e+00
2.533082799177980959e+00,3.760963138826332042e+00,2.566858781316212657e+01,2.226283955261851411e+00,-1.173128138596388315e+00,-1.219777215693330419e+00
8.227841037691475679e-01,1.050064703341633177e+01,1.388527065429450147e+00,9.302201174197574640e-02,9.050891290418342505e-01,-3.162537864256246944e+00
8.474590773560304324e-01,6.806173389698663811e+00,4.054031947682307901e+00,8.712447729103807159e-01,5.639132476306669695e-01,-4.661387826887293806e-01
2.522648004872536820e+00,7.685550608983418464e+00,1.408359497157080975e+00,1.407113936596757320e+00,-1.463435098084131525e+00,-6.781788559150090379e-01
