x,y,z,vx,vy,vz
8.604776188587021091e-01,4.792027145137008226e+00,1.357900397785935853e+00,-4.109937034496631281e-01,9.774450534681398128e-01,-3.040277352011525047e-01
8.294985416304963000e-01,9.731584761649506587e-01,4.044550960811400309e+00,-1.751185041393267472e+00,2.631519999788860975e+00,-1.042701642393363715e+00
2.492052629192837543e+00,1.937552383964312064e+00,1.335652621148278651e+00,-7.329998091787452985e-01,-1.192330351608575256e+00,1.014871723911631607e+00
2.546892319847197328e+00,3.820464698715480445e+00,3.984353804244859631e+00,-1.170481597871315949e-01,-5.981062421533351880e-01,-3.958574145819908630e-01
8.180867815788924746e-01,4.685885405482508759e+00,6.707527952959718043e+00,-9.864424879568582660e-02,-3.175499585082816045e-01,7.432964334284440922e-01
8.403880436956170374e-01,9.686889134462766116e-01,9.501072319476513428e+00,-8.084240126934337523e-02,-6.961982717561486789e-01,-1.162586356225128181e-01
2.515889854701792938e+00,1.891484728983362729e+00,6.745695972114314820e+00,-1.872247333471433350e+00,1.200311319485751316e+00,1.120059933912438854e+00
2.446780962952278760e+00,3.775385866767370313e+00,9.513113827914889242e+00,1.311464807159762325e+00,1.937490071723447227e-01,-2.337976480259004397e+00
7.664277607840300766e-01,4.783155050400266006e+00,1.214435305452226821e+01,-2.158971231462193663e-02,1.029460575303598580e+00,-2.888989933353781625e-01
8.915985423778103325e-01,8.557685203465278390e-01,1.481282640464757172e+01,8.083112066639177584e-01,-2.107590078749990603e+00,2.644917702161739825e-01
2.434045959238536394e+00,1.945827560900577735e+00,1.218597430681772664e+01,7.037265622024779788e-01,1.264579516089091582e+00,3.311896962510963438e-01
2.474184035408227622e+00,3.826240127815705439e+00,1.491902482089341575e+01,-7.831417232438488973e-01,1.173271035231392201e+00,3.792925305508438316e-01
8.792681773135908596e-01,4.780487522428478186e+00,1.758327179014939645e+01,1.229527782047946882e+00,-3.812461982970547503e-01,-1.637467772760711204e+00
8.624578030870422296e-01,8.893898601257831382e-01,2.026497124442376219e+01,8.902865331539646654e-01,8.409275538592648758e-01,-1.635462690301101030e-01
2.443488310673116892e+00,1.905207594489718659e+00,1.759267106359794042e+01,1.218042603757225173e+00,-4.615445035256910411e-01,-1.215577817902561808e+00
2.460088404190022171e+00,3.866326146244229101e+00,2.026529151663642381e+01,1.149329847249702219e+00,-1.354074269295051924e-01,-3.631436817328013711e-01
8.391883606482007929e-01,4.800063758706493822e+00,2.295134829972631607e+01,7.437385134252550989e-01,-5.647251426373177674e-01,3.662449689317651691e-01
8.034832797085129652e-01,9.462992614680852954e-01,2.562500622147577900e+01,2.616837166000903214e-01,3.609059206549095067e-01,6.128596283975465964e-01
2.459879154952735014e+00,1.954996340004629962e+00,2.294078775030628137e+01,-1.566758110230947576e+00,1.635972823255157804e+00,-1.840167783325050710e+00
2.426800221888242515e+00,3.783902807881006858e+00,2.564950469218113582e+01,1.417796821129598372e+00,-2.075309422519956648e+00,-4.513626401003652949e-02
8.794283546070820190e-01,1.050969692807002431e+01,1.400783426880664262e+00,-2.661677017481689500e-01,6.408670107122987902e-01,-5.340494302752309963e-01
8.388934059565451573e-01,6.728779603054578118e+00,4.063822016687375971e+00,-4.922215236493442392e-01,-3.255666304624184049e-01,-8.388909344097177367e-01
2.478134351386097833e+00,7.674197599936086078e+00,1.319766184516021124e+00,-4.883656112413698458e-01,1.745905210504740124e-01,1.641671676902575205e+00
2.482702891861735317e+00,9.572313588644169258e+00,4.067127012356931637e+00,-8.257588140787258668e-01,-7.861716817416836145e-01,-1.244796822975990480e+00
