x,y,z,vx,vy,vz
8.474480620570770117e-01,4.703055675766969479e+00,1.335802485499364645e+00,-1.021262564171386389e+00,1.067013263741789508e+00,1.206013465208395363e-01
8.245900324083688115e-01,9.835731532893238205e-01,4.059808332972529854e+00,8.614147573587506157e-01,4.921570756453937934e-01,-1.250103976538489814e+00
2.491856565146810087e+00,1.850968922802785244e+00,1.391915275998218959e+00,-1.108964242837511827e-01,-8.597699947807928567e-01,1.107144109995504389e+00
2.404043654226997617e+00,3.825157385545509214e+00,4.113143567127569789e+00,-7.874507295101662585e-01,4.942948510056027200e-01,5.009221614798194944e-01
8.423928599713987886e-01,4.826681196426372722e+00,6.774161329884276661e+00,-4.095295084031290445e-02,7.492159662854415147e-01,3.313885078208079760e-01
8.601016498107088015e-01,9.580631190841206735e-01,9.440591381258151671e+00,-3.107998059576243949e-03,1.981855195892055777e-01,1.391932697088456905e+00
2.422770272665328406e+00,1.912574202225871600e+00,6.783745268168669185e+00,-8.269476140810899656e-01,-9.282140348769898353e-01,-7.281555798718082340e-01
2.503451725109119064e+00,3.820898836164456025e+00,9.483576344097544464e+00,-2.304831929089206644e-01,-3.411010984433269222e-01,1.793909615650679523e+00
8.767801251611032631e-01,4.817052582335104916e+00,1.218637565327991901e+01,2.645849759351040387e+00,1.484257325880744993e+00,1.029280106281533325e+00
8.529191320578960456e-01,9.382998430738893614e-01,1.482681745831593112e+01,1.670615008360769593e-01,-4.745199855821578133e-02,7.910192389851912198e-01
2.457787477858662584e+00,1.902141108357133126e+00,1.216663333551121617e+01,5.248312039148402830e-01,2.316763463109578758e-01,1.021177800004671621e+00
2.500212668439352637e+00,3.782222051150831099e+00,1.487742920495245613e+01,-1.177803379439731124e+00,1.189035109934348799e+00,-5.284021943914336550e-01
8.619562545633814299e-01,4.800492191771142281e+00,1.756667826350678396e+01,-4.244544154205779490e-02,-1.190999748585997775e+00,6.308833486649196853e-01
8.435054512701343210e-01,9.550820826274307729e-01,2.030172860170516103e+01,-1.282663642144287741e-01,-1.615273496396240488e-02,-8.228521399517743085e-01
2.480883880527853691e+00,1.954363406263199376e+00,1.757990658803998585e+01,4.402695983993158979e-01,9.821363821095991931e-01,1.906216893938720569e-01
2.501166635222018098e+00,3.777000506432588445e+00,2.020956802712516875e+01,7.947617032357300326e-01,-4.139727713051770674e-01,1.187707452616376891e+00
