x,y,z,vx,vy,vz
8.618196256153570767e-01,4.760486693591849061e+00,1.372998128047123290e+00,1.142832377202391170e+00,2.174139234519969044e+00,1.660685688350266753e+00
8.391504030815473136e-01,1.014304267082271060e+00,4.079170435791191984e+00,4.048485143027501509e-01,-1.560724678728526493e+00,-8.190905147217185656e-01
2.468025485845759981e+00,1.876826222965985336e+00,1.305614308640600685e+00,-1.091590952605780984e+00,5.114140985350200397e-02,-1.620326240760580294e+00
2.459433979536808756e+00,3.857719870462148481e+00,4.148644014493578780e+00,1.201219570280022575e+00,1.892095578237551756e-01,1.114100454250231298e+00
7.681213260446220215e-01,4.857116656696398138e+00,6.702796724584436205e+00,4.910770012940368079e-01,-7.495926859389828723e-01,4.514732135066670815e-01
8.389264096747311994e-01,9.253088494013286258e-01,9.442867305625819441e+00,-1.269878312920680541e+00,-6.216198947288527066e-01,9.470434780439931366e-01
2.495191051789598546e+00,2.026052034978432559e+00,6.740687349168020148e+00,2.540795667522720569e-01,-1.441615699448205445e+00,-1.065318622170338125e+00
2.459599848172151937e+00,3.831144401472637018e+00,9.427039229597356851e+00,4.611018907489161101e-01,-7.203458614305885410e-01,5.881816822419311253e-02
8.132598029902480263e-01,4.736462072028173154e+00,1.211899185839711279e+01,1.368127853210195255e+00,7.282759784136364489e-01,2.715540110619942271e-01
8.244783770057166894e-01,9.112771756515202215e-01,1.485546887602215271e+01,4.754122271269902167e-01,-9.338372983725354848e-01,-1.649959345625724216e+00
2.394129147073504882e+00,1.891326173025045465e+00,1.214816478584798709e+01,5.391463019405193791e-01,-1.100039557716105953e+00,1.526139080735769094e+00
2.443412590064339973e+00,3.788130990409940946e+00,1.484415969047350714e+01,-1.283882361826727880e+00,-7.222973304756533652e-01,-1.077108369291153389e+00
7.146972796830085572e-01,4.763411139852022913e+00,1.749057692633916972e+01,-7.892860814891030641e-01,-4.115119823955225020e-01,3.234386541394188019e-01
7.965756596130143530e-01,9.289603636690201283e-01,2.014484501686226992e+01,4.724615435084632276e-02,5.479736075794192640e-01,-2.805301110035283707e-01
2.396610802854501010e+00,1.989232029498088528e+00,1.748918529604490502e+01,5.579043367331236736e-01,-1.487682168280243467e+00,1.605712114198988572e-02
2.357830444354656052e+00,3.800137766119587646e+00,2.016790927884458995e+01,1.476443565160668880e-01,1.852661174578314363e+00,-7.232495760684981567e-01
8.283750390532409469e-01,4.744139812738461970e+00,2.286346597714625872e+01,4.838110682839062981e-01,-6.424352000895766635e-01,2.070531815283069288e-01
8.042977700739735170e-01,9.441697250731809765e-01,2.558661805418812207e+01,-6.412454618034688636e-01,-2.689765321657422992e-01,-1.145286490448502947e+00
2.470180993739874875e+00,1.892912861388850398e+00,2.289537522179745110e+01,4.997949390356671850e-01,6.927717670541021500e-01,-7.695420604420599719e-02
2.444846636699793407e+00,3.855028752350220689e+00,2.564963405568285992e+01,2.219307831663435981e-01,8.321272002849312566e-01,-1.497933629284274648e+00
7.955647534784124897e-01,1.043593749178561936e+01,1.279687669500767289e+00,1.129488709232525201e+00,7.719755368987357702e-01,2.185257229502385989e+00
7.921459715599188378e-01,6.623695417073007796e+00,3.994003547525621922e+00,-8.567936209439158679e-01,-1.038648278697138272e+00,-2.830947318693593714e-02
2.418918179395411094e+00,7.598716854880372296e+00,1.282292561188255631e+00,1.332032668831373945e+00,9.989781081911804916e-01,4.520645241147909221e-01
2.541075681001841335e+00,9.457902062288377820e+00,3.975669135857441194e+00,1.607070864912881536e+00,2.443017009772765757e-01,-1.913568659169049946e+00
8.793679843734681922e-01,1.045517785302372893e+01,6.734109320456668435e+00,9.033259985080520638e-01,-3.474572230703036335e-01,-3.112872311108405010e-01
8.442268096575344938e-01,6.709206878470767244e+00,9.379877900928521584e+00,8.911267311921146073e-01,1.314015955268379221e+00,1.071763831009161061e+00
